"日本標準商品分類(平成2年[1990年]6月改定)"
"分類コード","項目名","本籍"
"01941","かなりや",""
"01942","せきせいいんこ",""
"01943","文鳥",""
"01944","観賞用鳥類の種卵",""
"01949","その他の観賞用鳥類",""
"0195","観賞用魚類",""
"01951","きん魚",""
"019511","ひぶな",""
"019512","わきん",""
"019513","りゅうきん",""
"019514","しゅぶんきん",""
"019515","でめきん",""
"019516","きゃりこ",""
"019519","その他のきん魚",""
"01952","錦鯉",""
"019521","ひごい",""
"019522","さらさ",""
"019523","三色",""
"019529","その他の錦鯉",""
"01953","熱帯魚",""
"01959","その他の観賞用魚類",""
"0196","種苗用稚魚貝類",""
"01961","種苗用稚魚類",""
"019611","淡水産さけ・ます",""
"019612","海産さけ・ます",""
"019613","あゆ",""
"019614","こい及びふな",""
"019615","うなぎ（国内産）",""
"019616","うなぎ（外国産）",""
"019617","ぶり（はまち）",""
"019618","たい類",""
"019619","その他の種苗用稚魚類",""
"01962","種苗用稚貝類",""
"019621","種がき",""
"019622","はまぐり及びあさり",""
"019623","真珠母貝",""
"019624","もがい（さるぼお）",""
"019625","あわび",""
"019626","ほたてがい",""
"019629","その他の種苗用稚貝類",""
"01963","種苗用水産動物",""
"019631","くるまえび",""
"019632","がざみ",""
"019639","その他の種苗用水産動物",""
"0197","えさ用の生きた魚介類（海産ほ乳動物を除く。）",""
"01971","えさ用の活魚類",""
"019711","いわし",""
"019712","さば",""
"019713","あじ",""
"019714","かつお",""
"019719","その他のえさ用の活魚類",""
"01972","えさ用の生きた水産動物（魚類及び水産ほ乳動物を除く。）",""
"019721","えび",""
"019722","いか",""
"019729","その他のえさ用の生きた水産動物（魚類及び水産ほ乳動物を除く。）",""
"0198","みつばち",""
"0199","他に分類されない生き物",""
"02","動物粗製品",""
"021","原皮（毛皮を除く。）",""
"0211","成牛皮",""
"02111","生皮",""
"02112","塩生皮",""
"02113","塩干皮",""
"02119","その他の成牛皮",""
"0212","中牛皮",""
"02121","生皮",""
"02122","塩生皮",""
"02123","塩干皮",""
"02129","その他の中牛皮",""
"0213","小牛皮",""
"02131","生皮",""
"02132","塩生皮",""
"02133","塩干皮",""
"02139","その他の小牛皮",""
"0214","水牛皮",""
"02141","塩生皮",""
"02142","塩干皮",""
"02149","その他の水牛皮",""
"0215","馬皮（ろ馬及びら馬を含む。）",""
"02151","生皮",""
"02152","塩生皮",""
"02153","塩干皮",""
"02159","その他の馬皮",""
"0216","めん羊皮",""
"02161","生皮",""
"02162","塩生皮",""
"02163","塩干皮",""
"02164","ピックル",""
"02169","その他のめん羊皮",""
"0217","やぎ皮",""
"02171","生皮",""
"02172","塩生皮",""
"02173","塩干皮",""
"02179","その他のやぎ皮",""
"0218","豚皮",""
"02181","生皮",""
"02182","塩生皮",""
"02183","塩干皮",""
"02189","その他の豚皮",""
"0219","その他の原皮（毛皮を除く。）",""
"02191","しか及びかもしか皮",""
