"日本標準商品分類(平成2年[1990年]6月改定)"
"分類コード","項目名","本籍"
"163113","有機溶剤溶解染料",""
"163119","その他の合成染料",""
"1632","ピグメントレジンカラー",""
"16321","ピグメントレジンカラーベース",""
"16322","エクステンダー",""
"16323","バインダー",""
"1633","感応性色素",""
"16331","感圧性色素",""
"16332","感熱性色素",""
"16339","その他の感応性色素",""
"1639","その他の染料（天然染料を除く。）",""
"164","火薬類",""
"1641","火薬",""
"16411","黒色火薬",""
"164111","導火線用粉火薬",""
"164112","黒色猟用火薬",""
"164113","黒色鉱山火薬",""
"164119","その他の黒色火薬",""
"16412","無煙火薬",""
"164121","猟用無煙火薬",""
"164129","その他の無煙火薬",""
"16413","推薬",""
"16419","その他の火薬",""
"1642","爆薬",""
"164201","起爆薬",""
"164202","こう質ダイナマイト",""
"164203","粉状ダイナマイト",""
"164204","含水爆薬",""
"164205","硝安爆薬",""
"164206","硝安油剤爆薬",""
"164207","カーリット",""
"164208","硝酸エステル類（爆発の用途に供せられるもの。）",""
"1642081","ニトロセルロース（爆発の用途に供せられるもの。）",""
"1642089","その他の硝酸エステル類（爆発の用途に供せられるもの。）",""
"164211","ニトロ化合物（爆発の用途に供せられるもの。）",""
"1642111","トリニトロトルエン（ＴＮＴ）",""
"1642119","その他のニトロ化合物（爆発の用途に供せられるもの。）",""
"164299","その他の爆薬",""
"1643","火工品",""
"16431","爆破用火工品",""
"164311","工業雷管",""
"164312","電気雷管",""
"164313","導火線",""
"164314","導爆線",""
"164319","その他の爆破用火工品",""
"16432","銃用火工工品（武器用を除く。）",""
"164321","銃用実包",""
"1643211","散弾銃用弾",""
"1643212","ライフル銃用弾",""
"1643219","その他の銃用実包",""
"164322","銃用空包",""
"164323","銃用雷管",""
"164329","その他の銃用火工品（武器用を除く。）",""
"16433","信号用火工品",""
"16434","煙火",""
"164341","煙火",""
"164342","がん具煙火",""
"16439","その他の火工品",""
"1649","その他の火薬類",""
"165","合成樹脂及びその他のプラスチック（合成ゴムを含み, イオン交換樹脂及び繊維を除く。）",""
"1651","縮合樹脂",""
"16511","アミノ樹脂",""
"165111","メラミン樹脂",""
"1651111","メラミン樹脂（液状）（溶液を含む。）",""
"16511111","紙加工用メラミン樹脂（液状）",""
"16511112","積層品用メラミン樹脂（液状）",""
"16511113","接着剤用メラミン樹脂（液状）",""
"16511114","繊維加工用メラミン樹脂（液状）",""
"16511115","塗料用メラミン樹脂（液状）",""
"16511119","その他のメラミン樹脂（液状）（溶液を含む。）",""
"1651112","メラミン樹脂（成形材料）",""
"1651113","メラミン樹脂（固形）（形成材料を除く。）",""
"16511131","積層品用メラミン樹脂（固形）",""
"16511132","接着剤用メラミン樹脂（固形）",""
"16511133","塗料用メラミン樹脂（固形）",""
"16511139","その他のメラミン樹脂（固形）（成形材料を除く。）",""
"1651114","水溶性メラミン樹脂（メチロールメラミン樹脂）",""
"1651119","その他のメラミン樹脂",""
"165112","ユリア樹脂",""
"1651121","ユリア樹脂（液状）（溶液を含む。）",""
"16511211","紙加工用ユリア樹脂（液状）",""
"16511212","積層品用ユリア樹脂（液状）",""
"16511213","接着剤用ユリア樹脂（液状）",""
"16511214","繊維加工用ユリア樹脂（液状）",""
"16511215","塗料用ユリア樹脂（液状）",""
"16511219","その他のユリア樹脂（液状）（溶液を含む。）",""
"1651122","ユリア樹脂（形成材料）",""
"1651123","ユリア樹脂（固形）（成形材料を除く。）",""
"16511231","積層品用ユリア樹脂（固形）",""
"16511232","接着剤用ユリア樹脂（固形）",""
"16511233","塗料用ユリア樹脂（固形）",""
"16511239","その他のユリア樹脂（固形）（成形材料を除く。）",""
"1651124","ユリア樹脂成形品（素材）",""
"1651129","その他のユリア樹脂",""
"16512","アルキド樹脂",""
"165121","フタル酸系アルキド樹脂",""
"165129","その他のアルキド樹脂",""
"16513","ウレタン樹脂",""
"165131","ウレタン樹脂（液状）（溶液を含む。）",""
"1651311","塗料用ウレタン樹脂（液状）",""
"1651312","接着剤用ウレタン樹脂（液状）",""
"1651313","合成皮革用ウレタン樹脂（液状）",""
"1651314","防水用ウレタン樹脂（液状）",""
"1651319","その他のウレタン樹脂（液状）（溶液を含む。）",""
"165132","ウレタン樹脂（エラストマー）",""
"165133","ウレタン樹脂（発泡体）",""
"165139","その他のウレタン樹脂",""
"16514","エポキシ樹脂",""
"165141","エポキシ樹脂（液状）（溶液を含む。）",""
"1651411","塗料用エポキシ樹脂（液状）",""
"1651412","積層品用エポキシ樹脂（液状）",""
"1651413","接着剤用エポキシ樹脂（液状）",""
"1651419","その他のエポキシ樹脂（液状）（溶液を含む。）",""
"165142","エポキシ樹脂（成形材料）",""
"165143","エポキシ樹脂（固形）（成形材料を除く。）",""
"1651431","塗料用エポキシ樹脂（固形）",""
"1651432","積層品用エポキシ樹脂（固形）",""
"1651433","接着剤用エポキシ樹脂（固形）",""
"1651439","その他のエポキシ樹脂（固形）（成形材料を除く。）",""
"165144","エポキシ樹脂成形品（素材）",""
"165145","エポキシ樹脂積層品",""
"165149","その他のエポキシ樹脂",""
"16515","フェノール樹脂",""
"165151","フェノール樹脂（液状）（溶液を含む。）",""
"1651511","シェルモールド用フェノール樹脂（液状）",""
"1651512","積層品用フェノール樹脂（液状）",""
"1651513","接着剤用フェノール樹脂（液状）",""
"1651514","塗料用フェノール樹脂（液状）",""
"1651519","その他のフェノール樹脂（液状）（溶液を含む。）",""
"165152","フェノール樹脂（成形材料）",""
"165153","フェノール樹脂（固形）（成形材料を除く。）",""
"1651531","シェルモールド用フェノール樹脂（固形）",""
"1651532","積層品用フェノール樹脂（固形）",""
"1651533","接着剤用フェノール樹脂（固形）",""
"1651534","塗料用フェノール樹脂（固形）",""
"1651539","その他のフェノール樹脂（液状）（成形材料を除く。）",""
"165154","フェノール樹脂成形品（素材）",""
"165155","フェノール樹脂積層品",""
"1651551","フェノール樹脂積層品（板）",""
"1651552","フェノール樹脂積層品（棒）",""
"1651553","フェノール樹脂積層品（管）",""
"1651559","その他のフェノール樹脂積層品",""
"165159","その他のフェノール樹脂",""
"16516","不飽和ポリエステル樹脂",""
"165161","不飽和ポリエステル樹脂（アリル樹脂を除く。）",""
"1651611","不飽和ポリエステル樹脂（成形材料を除く。）",""
"16516111","積層品用不飽和ポリエステル樹脂",""
"16516112","塗料用不飽和ポリエステル樹脂",""
"16516119","その他の不飽和ポリエステル樹脂（成形材料を除く。）",""
"1651612","不飽和ポリエステル樹脂（成形材料）",""
"16516121","不飽和ポリエステル樹脂（成形材料）（ウエットタイプ）",""
"165161211","不飽和ポリエステル樹脂（成形材料）（ウエットタイプ）（プレミックス）",""
"165161212","不飽和ポリエステル樹脂（成形材料）（ウエットタイプ）（ロープ状）",""
"165161213","不飽和ポリエステル樹脂（成形材料）（ウエットタイプ）（シート状）",""
"165161219","その他の不飽和ポリエステル樹脂（成形材料）（ウエットタイプ）",""
"16516122","不飽和ポリエステル樹脂（成形材料）（ドライタイプ）",""
"165161221","不飽和ポリエステル樹脂（成形材料）（ドライタイプ）（ＢＭＣ）",""
"165161222","不飽和ポリエステル樹脂（成形材料）（ドライタイプ）（ＳＭＣ）",""
"165161229","その他の不飽和ポリエステル樹脂（成形材料）（ドライタイプ）",""
"1651613","不飽和ポリエステル樹脂成形品（素材）",""
"1651619","その他の不飽和ポリエステル樹脂（アリル樹脂を除く。）",""
"165162","アリル樹脂",""
"16517","ポリカーボネート",""
"16519","その他の縮合樹脂",""
"1652","重合樹脂",""
"165201","塩化ビニル樹脂",""
"1652011","塩化ビニル樹脂（パウダー）",""
"16520111","塩化ビニル樹脂（ホモポリマー）",""
"16520112","塩化ビニル樹脂（コポリマー）",""
"16520113","塩化ビニル樹脂（ペースト）",""
"16520119","その他の塩化ビニル樹脂（パウダー）",""
"1652012","塩化ビニル樹脂（成形材料及びコンパウンド）",""
"1652013","塩化ビニル樹脂成形品（素材）",""
"16520131","塩化ビニル樹脂（フィルム）",""
"16520132","塩化ビニル樹脂（シート）",""
"16520133","塩化ビニル樹脂（レザー）",""
"16520134","塩化ビニル樹脂（管）",""
"16520135","塩化ビニル樹脂（硬質板）",""
"16520139","その他の塩化ビニル樹脂成形品（素材）",""
"165202","塩化ビニリデン樹脂（コポリマーを含む。）",""
"165203","石油樹脂（クマロン－インデン樹脂を含む。）",""
"165204","ポリアクリル酸エステル",""
"1652041","ポリアクリル酸メチル",""
"1652049","その他のポリアクリル酸エステル",""
"165205","ポリエーテル",""
"1652051","ポリアセタール",""
"1652059","その他のポリエーテル",""
"165206","ポリエチレンテレフタレート",""
"165207","ポリオレフィン",""
"1652071","高密度ポリエチレン",""
"16520711","高密度ポリエチレン（成形材料）",""
"16520712","高密度ポリエチレン成形品（素材）",""
"165207121","高密度ポリエチレン（フィルム）",""
"165207122","高密度ポリエチレン（シート）",""
"165207123","高密度ポリエチレン（管）",""
"165207129","その他の高密度ポリエチレン成形品（素材）",""
"1652072","低密度ポリエチレン",""
"16520721","低密度ポリエチレン（成形素材）",""
"16520722","低密度ポリエチレン成形品（素材）",""
"165207221","低密度ポリエチレン（フィルム）",""
"165207222","低密度ポリエチレン（シート）",""
"165207223","低密度ポリエチレン（管）",""
"165207229","その他の低密度ポリエチレン成形品（素材）",""
"1652073","エチレン－酢酸ビニル共重合樹脂",""
"16520731","エチレン－酢酸ビニル共重合樹脂（成形材料）",""
"16520732","エチレン－酢酸ビニル共重合樹脂成形品（素材）",""
"1652074","ポリプロピレン",""
"16520741","ポリプロピレン（成形材料）",""
"16520742","ポリプロピレン成形品（素材）",""
"165207421","ポリプロピレン（フィルム）",""
"165207422","ポリプロピレン（シート）",""
"165207423","ポリプロピレン（管）",""
"165207429","その他のポリプロピレン成形品（素材）",""
"1652075","ポリブテン",""
"1652079","その他のポリオレフィン",""
"165208","ポリスチレン",""
"1652081","一般用・耐衝撃用ポリスチレン",""
"16520811","一般用・耐衝撃用ポリスチレン（成形材料）",""
"165208111","一般用ポリスチレン（成形材料）",""
"165208112","耐衝撃用ポリスチレン（せいけいざいりょう）",""
"16520812","一般用・耐衝撃用ポリスチレン成形品（素材）",""
"165208121","一般用・耐衝撃用ポリスチレン（フィルム）",""
"165208122","一般用・耐衝撃用ポリスチレン（シート）",""
"165208129","その他の一般用・耐衝撃用ポリスチレン成形品（素材）",""
"1652082","発泡ポリスチレン",""
"16520821","発泡ポリスチレンビース（成形材料）",""
"16520822","発泡ポリスチレン成形品（素材）",""
"165208221","発泡ポリスチレンビース成形品（素材）",""
"165208222","発泡ポリスチレン押出成形品（素材）",""
"165208229","その他の発泡ポリスチレン成形品（素材）",""
"1652083","スチレン共重合樹脂",""
"16520831","ＡＳ樹脂（スチレン－アクリロニトリル共重合樹脂）",""
"16520832","ＡＢＳ樹脂（スチレン－アクリロニトリル－ブタジエン共重合樹脂）",""
"16520839","その他のスチレン共重合樹脂",""
"165211","ポリビニルアセタール",""
"1652111","ポリビニルブチラール",""
"1652112","ポリビニルホルマール",""
"1652119","その他のポリビニルアセタール",""
"165212","ポリビニルアルコール",""
"165213","ポリビニルエステル",""
"1652131","酢酸ビニル樹脂",""
"1652139","その他のポリビニルエステル",""
"165214","ポリメタクリル酸エステル",""
"1652141","ポリメタクリル酸メチル",""
"16521411","ポリメタクリル酸メチル（成形材料）",""
"16521412","ポリメタクリル酸メチル（板）",""
"16521419","その他のポリメタクリル酸メチル",""
"1652149","その他のポリメタクリル酸エステル",""
"165215","再生重合樹脂",""
"1652151","再生塩化ビニル樹脂",""
"1652152","再生ポリエチレン",""
"1652153","再生ポリスチレン",""
"1652154","再生ポリプロピレン",""
"1652159","その他の再生重合樹脂",""
"165299","その他の重合樹脂",""
"1653","ポリアミド",""
"16531","ポリアミド（成形材料）",""
"165311","ポリアミド６（成形材料）",""
"165312","ポリアミド６６（成形材料）",""
"165313","ポリアミド６１０（成形材料）",""
"165314","ポリアミド１１（成形材料）",""
"165315","ポリアミド１２（成形材料）",""
"165316","ポリアミド共重合樹脂（成形材料）",""
"165319","その他のポリアミド（成形材料）",""
"16532","ポリアミド成形品（素材）",""
"1654","けい素樹脂",""
"16541","けい素樹脂オイル",""
"16542","けい素樹脂ワニス",""
"16543","けい素樹脂ゴム",""
"16544","けい素樹脂グリース",""
"16545","けい素樹脂コンパウンド",""
"16549","その他のけい素樹脂",""
"1655","ふっ素樹脂",""
"16551","三ふっ化ー塩化エチレン樹脂",""
"165511","三ふっ化－塩化エチレン樹脂（成形材料）",""
"165512","三ふっ化－塩化エチレン樹脂成形品（素材）",""
"165519","その他の三ふっ化－塩化エチレン樹脂",""
"16552","四ふっ化エチレン樹脂",""
"165521","四ふっ化エチレン樹脂（成形材料）",""
"165522","四ふっ化エチレン樹脂成形品（素材）",""
"165529","その他の四ふっ化エチレン樹脂",""
"16553","四ふっ化エチレンー六ふっ化プロピレン樹脂",""
"16559","その他のふっ素樹脂",""
"1656","セルロース系プラスチック",""
"16561","セルロースエステルプラスチック",""
"165611","アセチルセルロースプラスチック",""
"1656111","アセチルセルロースプラスチック（成形材料）",""
"1656112","アセチルセルロースプラスチック（シート）",""
"1656113","アセチルセルロースプラスチック（管）",""
"1656114","アセチルセルロースプラスチック（フィルム）（写真フィルムベースを除く。）",""
"1656115","アセチルセルロースプラスチック（写真フィルムベース）",""
"1656119","その他のアセチルセルロースプラスチック",""
"165612","セルロースアセテートプロピオネートプラスチック",""
"165613","セルロースアセテートブチレートプラスチック",""
"165614","ニトロセルロースプラスチック",""
"1656141","セルロイド生地",""
"16561411","セルロイド生地（シート）",""
"16561412","セルロイド生地（管）",""
"16561419","その他のセルロイド生地",""
"1656142","再生セルロイド生地",""
"1656149","その他のニトロセルロースプラスチック",""
"165619","その他のセルロースエステルプラスチック",""
"16562","セルロースエーテルプラスチック",""
"165621","エチルセルロースプラスチック",""
"165629","その他のセルロースエーテルプラスチック",""
"16563","セロファン",""
"165631","プレーンセロファン",""
"165632","防湿セロファン",""
"165633","ポリエチレン塗工セロファン",""
"165639","その他のセロファン",""
"16569","その他のセルロース系プラスチック",""
"1657","たん白質系プラスチック",""
"1658","合成ゴム",""
"165801","アクリルゴム",""
"165802","アクリレート－ブタジエンゴム",""
"165803","アクリロニトリル－ブタジエンゴム（ＮＢＲ）",""
"1658031","ドライ",""
"1658032","ラテックス",""
"165804","イソプレンゴム（ＩＲ）",""
"1658041","ドライ",""
"1658042","ラテックス",""
"165805","ウレタンゴム",""
"165806","エチレン－プロピレンゴム",""
"165807","クロロスルホン化ポリエチレン",""
"165808","クロロプレンゴム（ＣＲ）",""
"1658081","ドライ",""
"1658082","ラテックス",""
"165811","シリコーンゴム",""
"165812","スチレン－ブタジエンゴム（ＳＢＲ）",""
"1658121","ドライ",""
"16581211","ハイスチレン（マスターバッチ）",""
"16581212","ノン・オイル",""
"16581213","オイル",""
"1658122","ラテックス（スチレン・ブタジエン系）",""
"165813","多硫化ゴム",""
"165814","ブタジエンゴム（ＢＲ）",""
"1658141","ドライ",""
"1658142","ラテックス",""
"165815","ブチルゴム（ＩＩＲ）",""
"165816","ふっ素ゴム",""
"165899","その他の合成ゴム",""
"1659","その他の合成樹脂及びその他のプラスチック（イオン交換樹脂及び繊維を除く。）",""
"166","塗料, シンナー及び関連製品（無機顔料及び有機顔料を除く。）",""
"1661","油性塗料",""
"16611","ボイル油",""
"16612","調合ペイント",""
"16613","油性下地塗料",""
"16614","油性ワニス",""
"16619","その他の油性塗料",""
"1662","ラッカー",""
"16621","クリヤラッカー",""
"16622","ラッカーエナメル",""
"16623","ハイソリッドクリヤラッカー",""
"16624","ハイソリッドラッカーエナメル",""
"16625","皮革用ラッカー",""
"16626","ラッカー下地塗料",""
"16629","その他のラッカー",""
"1663","電気絶縁塗料",""
"16631","電気絶縁油性塗料",""
"16632","電気絶縁酒精塗料",""
"16633","電気絶縁合成樹脂塗料",""
"16634","電気絶縁混和物",""
"1664","合成樹脂塗料",""
"166401","アルキド樹脂系塗料",""
"1664011","フタル酸樹脂系クリヤ",""
"1664012","フタル酸樹脂系エナメル",""
"1664013","アルミニウムペイント",""
"1664014","合成樹脂調合ペイント",""
"1664015","合成樹脂さび止ペイント",""
"16640151","一般用さび止ペイント",""
"16640152","鉛丹さび止ペイント",""
"16640153","亜酸化鉛さび止ペイント",""
"16640154","シアナミド鉛さび止ペイント",""
"16640155","ジンククロメートさび止ペイント",""
"16640156","鉛丹ジンクロロメートさび止ペイント",""
"16640157","鉛酸カルシウムさび止ペイント",""
"16640159","その他の合成樹脂さび止ペイント",""
"1664019","その他のアルキド樹脂系塗料",""
"166402","アミノアルキド樹脂系塗料",""
"1664021","メラミン樹脂系クリヤ",""
"1664022","メラミン樹脂系エナメル",""
"1664023","ユリア樹脂系クリヤ",""
"1664024","ユリア樹脂系エナメル",""
"1664025","アミノアルキド樹脂系下地塗料",""
"1664029","その他のアミノアルキド樹脂系塗料",""
"166403","ビニル樹脂系塗料",""
"1664031","塩化ビニル樹脂系クリヤ",""
"1664032","塩化ビニル樹脂系エナメル",""
"1664033","塩化ビニル樹脂系下地塗料",""
"1664034","ビニル樹脂系エッチングプライマー",""
"1664039","その他のビニル樹脂系塗料",""
"166404","アクリル樹脂系塗料",""
"1664041","常温乾燥型アクリル樹脂系塗料",""
"16640411","アクリル樹脂系クリヤ",""
"16640412","アクリル樹脂系エナメル",""
"16640413","アクリル樹脂系下地塗料",""
"1664042","焼付乾燥型アクリル樹脂系塗料",""
"16640421","アクリル樹脂系クリヤ",""
"16640422","アクリル樹脂系エナメル",""
"1664049","その他のアクリル樹脂系塗料",""
"166405","エポキシ樹脂系塗料",""
"1664051","常温乾燥型エポキシ樹脂系塗料",""
"16640511","エポキシ樹脂系クリヤ",""
"16640512","エポキシ樹脂系エナメル",""
"16640513","エポキシ樹脂系下地塗料",""
"16640514","エポキシ樹脂系ジンクリッチペイント",""
"16640515","タールエポキシ樹脂系塗料",""
"1664052","焼付乾燥型エポキシ樹脂系塗料",""
"16640521","エポキシ樹脂系クリヤ",""
"16640522","エポキシ樹脂系エナメル",""
"16640523","エポキシ樹脂系下地塗料",""
"1664059","その他のエポキシ樹脂系塗料",""
"166406","ウレタン樹脂系塗料",""
"1664061","一液型ウレタン樹脂系塗料",""
"16640611","ウレタン樹脂系クリヤ",""
"16640612","ウレタン樹脂系エナメル",""
"16640613","ウレタン樹脂系下地塗料",""
"1664062","多液型ウレタン樹脂系塗料",""
"16640621","ウレタン樹脂系クリヤ",""
"16640622","ウレタン樹脂系エナメル",""
"16640623","ウレタン樹脂系下地塗料",""
"1664069","その他のウレタン樹脂系塗料",""
"166407","不飽和ポリエステル樹脂系塗料",""
"1664071","不飽和ポリエステル樹脂系クリヤ",""
"1664072","不飽和ポリエステル樹脂系エナメル",""
"1664073","不飽和ポリエステル樹脂系パテ",""
"1664079","その他の不飽和ポリエステル樹脂系塗料",""
"166408","塩化ゴム系塗料",""
"1664081","塩化ゴム系エナメル",""
"1664089","その他の塩化ゴム系塗料",""
"166411","船底塗料",""
"1664111","ビニル樹脂系船底塗料",""
"1664112","アクリル樹脂系船底塗料",""
"1664113","エポキシ樹脂系船底塗料",""
"1664114","タールエポキシ樹脂系船底塗料",""
"1664115","塩化ゴム系船底塗料",""
"1664119","その他の船底塗料",""
"166412","けい素樹脂系塗料",""
"166413","ふっ素樹脂系塗料",""
"166414","エマルションペイント",""
"1664141","つやなしエマルションペイント",""
"1664142","つや有りエマルションペイント",""
"1664143","エマルション模様塗料",""
"1664144","エマルション下地塗料",""
"1664145","厚模型エマルションペイント",""
"1664149","その他のエマルションペイント",""
"166415","水溶性樹脂塗料",""
"1664151","常温乾燥型水溶性樹脂塗料",""
"1664152","焼付乾燥型水溶性樹脂塗料",""
"1664159","その他の水溶性樹脂塗料",""
"166416","粉体塗料",""
"1664161","静電吹付用粉体塗料",""
"1664162","流動浸潰用粉体塗料",""
"166417","トラフィックペイント",""
"166499","その他の合成樹脂塗料",""
"1665","無機質塗料",""
"16651","無機系ジンクリッチペイント",""
"16652","無機系耐熱塗料",""
"16659","その他の無機質塗料",""
"1669","その他の塗料, シンナー及び関連製品",""
"16691","その他の塗料",""
"166911","酒精塗料",""
"166912","タール系塗料",""
"166913","発光塗料",""
"166914","蛍光塗料",""
"166915","うるし（生うるしを除く。）",""
"166919","他に分類されない塗料（防音塗料, 殺虫塗料, 防かび塗料, 防火塗料, 示音塗料などを含む。）",""
"16692","シンナー（塗料用に調整されたもの）",""
"166921","塗料用シンナー",""
"166922","ラッカーシンナー（リターダーを含む。）",""
"166923","合成樹脂塗料用シンナー",""
"166929","その他のシンナー",""
"16693","関連製品",""
"166931","パテ",""
"166932","ドライヤー",""
"166933","ステイン",""
"166934","コンパウンド（塗料用）",""
"166935","リムーバー（塗料用）",""
"166939","その他の関連製品",""
"167","肥料（製造有機質肥料及び有機質配合肥料を除く。）",""
"1671","窒素質肥料",""
"16711","硫酸アンモニウム（硫酸アンモニア）（硫安）",""
"16712","塩化アンモニウム（塩化アンモニア）（塩安）",""
"16713","硝酸アンモニウム（硝酸アンモニア）（硝安）",""
"16714","硝酸ナトリウム（硝酸ソーダ）（天然品を含む。）",""
"16715","尿素",""
"16716","石灰窒素（カルシウムアナミド）",""
"167161","石灰窒素（粉状）",""
"167162","石灰窒素（粒状）",""
"16719","その他の窒素質肥料",""
"1672","りん酸質肥料",""
"16721","過りん酸石灰",""
"16722","重過りん酸石灰",""
"16723","よう（熔）成りん肥",""
"16724","焼成りん肥",""
"16725","加工りん酸肥料",""
"16729","その他のりん酸質肥料",""
"1673","カリ質肥料",""
"16731","硫酸カリウム（硫酸カリ）",""
"16732","塩化カリウム（塩化カリ）",""
"16733","硫酸カリ苦土",""
"16734","炭酸水素カリウム（重炭酸カリ）",""
"16739","その他のカリ質肥料",""
"1674","複合肥料",""
"16741","化成肥料",""
"167411","りん酸アンモニウム",""
"167412","硝酸カリウム",""
"167419","その他の化成肥料",""
"16742","配合肥料（天然有機質肥料を配合したものを含む。）",""
"167421","粒状配合肥料",""
"167429","その他の配合肥料",""
"16743","成形複合肥料",""
"16744","液状複合肥料",""
"16749","その他の複合肥料",""
"1675","石灰質肥料",""
"再掲","生石灰（179221）","179221
"
"再掲","消石灰（179222）","179222
"
"再掲","炭酸カルシウム肥料（05191）","5191
"
"16759","その他の石灰質肥料",""
"1676","けい酸質肥料",""
"16761","鉱さいけい酸質肥料（けい酸カルシウムを含む。）",""
"16769","その他のけい酸質肥料",""
"1677","苦土肥料",""
"16771","硫酸苦土肥料（硫酸マグネシウム）",""
"16772","水酸化苦土肥料（水酸化マグネシウム）",""
"16773","副産苦土肥料",""
"167731","マグネシアクリンカー副産物（軽焼マグネシアを含む。）",""
"167739","その他の副産苦土肥料",""
"16779","その他の苦土肥料",""
"1678","微量要素肥料",""
"16781","マンガン質肥料",""
"167811","硫酸マンガン肥料",""
"167812","鉱さいマンガン肥料",""
"167819","その他のマンガン質肥料",""
"16782","ほう素質肥料",""
"167821","ほう酸塩肥料",""
"167822","加工ほう素肥料",""
"167829","その他のほう素質肥料",""
"16789","その他の微量要素肥料",""
"1679","その他の肥料（製造有機質肥料及び有機質配合肥料を除く。）",""
"168","農薬",""
"1681","殺虫剤",""
"1682","殺だに剤",""
"1683","殺菌剤",""
"1684","除草剤",""
"1685","殺そ剤",""
"1686","植物成長調整剤",""
"1687","殺虫殺菌混合剤",""
"1689","その他の農薬",""
"169","その他の基礎化学製品",""
"16901","加工でん粉",""
"169011","アルファでん粉",""
"169012","可溶性でん粉",""
"169013","デキストリン",""
"169014","でん粉誘導体",""
"169019","その他の加工でん粉",""
"16902","オセイン, ゼラチン, にかわ及びカゼイン",""
"169021","オセイン",""
"169022","ゼラチン",""
"1690221","食用ゼラチン",""
"1690222","工業用ゼラチン",""
"1690223","写真用ゼラチン",""
"1690229","その他のゼラチン",""
"169023","にかわ",""
"169024","カゼイン",""
"1690241","ミルクカゼイン",""
"16902411","レンネットカゼイン",""
"16902412","ラクチックカゼイン",""
"16902419","その他のミルクカゼイン",""
"1690242","大豆たん白",""
"1690249","その他のカゼイン",""
"16903","接着剤（家庭用接着剤及び事務用のりを除く。）",""
"169031","たん白系接着剤",""
"1690311","ミルクカゼイングルー",""
"1690312","大豆グルー",""
"1690313","ミルクカゼイン－大豆グルー, 混合グルー",""
"1690319","その他のたん白系接着剤",""
"169032","でん粉質系接着剤",""
"169033","天然ゴム接着剤",""
"169034","セルロース系接着剤",""
"169035","合成樹脂接着剤",""
"1690351","アクリル樹脂接着剤",""
"16903511","アクリル樹脂接着剤（溶液形）",""
"16903512","アクリル樹脂エマルション接着剤",""
"16903513","シアノアクリケート系接着剤",""
"16903519","その他のアクリル樹脂接着剤",""
"1690352","ウレタン樹脂接着剤",""
"1690353","エポキシ樹脂接着剤",""
"1690354","酢酸ビニル樹脂接着剤",""
"16903541","酢酸ビニル樹脂接着剤（溶液形）",""
"16903542","酢酸ビニル樹脂エマルション接着剤",""
"16903549","その他の酢酸ビニル樹脂接着剤",""
"1690355","フェノール樹脂接着剤",""
"1690356","メラミン樹脂接着剤",""
"1690357","ユリア樹脂接着剤",""
"1690358","レゾルシノール樹脂接着剤",""
"1690359","その他の合成樹脂接着剤",""
"169036","合成ゴム接着剤",""
"1690361","アクリロニトリルブタジエンゴム接着剤",""
"16903611","アクリロニトリルブタジエンゴム接着剤（溶液形）",""
"16903612","アクリロニトリルブタジエンゴムラテックス接着剤",""
"16903619","その他のアクリロニトリルブタジエンゴム接着剤",""
"1690362","クロロプレンゴム接着剤",""
"16903621","クロロプレンゴム接着剤（溶液形）",""
"16903622","クロロプレンゴムラテックス接着剤",""
"16903629","その他のクロロプレンゴム接着剤",""
"1690363","スチレンブタジエンゴム接着剤",""
"16903631","スチレンブタジエンゴム接着剤（溶液形）",""
"16903632","スチレンブタジエンゴムラテックス接着剤",""
"16903639","その他のスチレンブタジエンゴム接着剤",""
"1690369","その他の合成ゴム接着剤",""
"169037","ホットメルト接着剤",""
"169038","アスファルト接着剤",""
"169039","その他の接着剤（家庭用接着剤及び事務用のりを除く。）",""
"16904","印刷インキ",""
"169041","平板インキ",""
"1690411","枚葉平版インキ",""
"1690412","巻紙平版インキ",""
"169042","とっ版インキ",""
"1690421","新聞インキ",""
"1690422","枚葉とっ版インキ",""
"1690423","巻紙とっ版インキ",""
"1690424","ゴムとっ版インキ",""
"169043","金属板インキ",""
"169044","グラビアインキ",""
"1690441","出版グラビアインキ",""
"1690442","包装グラビアインキ",""
"1690449","その他のグラビアインキ",""
"169045","フレキソインキ",""
"169046","孔版インキ",""
"1690461","スクリーンインキ",""
"1690462","謄写板インキ",""
"169047","印刷インキ用ワニス",""
"169048","補助剤",""
"169049","その他の印刷インキ",""
"16905","浄水剤及び硬水軟化剤",""
"169051","硫酸アルミニウム系浄水剤",""
"169052","アルミン酸ソーダ系浄水剤",""
"169053","水酸化カルシウム系浄水剤及び硬水軟化剤",""
"1690531","水酸化カルシウム系浄水剤",""
"1690532","水酸化カルシウム系硬水軟化剤",""
"169054","炭酸ソーダ系浄水剤及び硬水軟化剤",""
"1690541","炭酸ソーダ系浄水剤",""
"1690542","炭酸ソーダ系硬水軟化剤",""
"169055","ゼオライト系浄水剤及び硬水軟化剤",""
"1690551","天然品",""
"16905511","ゼオライト系浄水剤（天然品）",""
"16905512","ゼオライト系硬水軟化剤（天然品）",""
"1690552","合成品",""
"16905521","ゼオライト系浄水剤（合成品）",""
"16905522","ゼオライト系硬水軟化剤（合成品）",""
"169056","イオン交換樹脂",""
"1690561","陽イオン交換樹脂",""
"1690562","陰イオン交換樹脂",""
"169059","その他の浄水剤及び硬水軟化剤",""
"16906","金属熱処理剤",""
"169061","シアン化ナトリウム系金属熱処理剤",""
"169069","その他の金属熱処理剤",""
